                          header                          | occurrences 
----------------------------------------------------------+-------------
 Cleaned_DOB                                              |      459672
 Cleaned_NID                                              |      459672
 Status                                                   |      459672
 Excel_Row                                                |      459672
 Message                                                  |      459672
 পেশা                                                     |      441714
 গ্রামের নাম                                               |      427131
 পিতার নাম                                                |      423619
 ইউনিয়নের নাম                                             |      401791
 ওয়ার্ড নং                                                 |      389716
 লিঙ্গ                                                     |      367719
 ধর্ম                                                      |      357363
 Extracted_Name                                           |      344546
 Mobile                                                   |      344546
 Card_No                                                  |      344546
 Master_Serial                                            |      344546
 রেজিস্ট্রার্ড ডিলারের এনআইডি নম্বর                           |      255523
 জাতীয় পরিচয় পত্র নম্বর                                     |      248561
 রেজিস্ট্রার্ড ডিলারের মোবাইল নং                             |      239272
 স্বামী/স্ত্রী জাতীয় পরিচয় নম্বর                              |      195915
 কার্ড নং                                                  |      192839
 জন্ম তারিখ (NID সাথে মিল থাকতে হবে)                       |      191440
 মোবাইল নং (নিজ নামে)                                     |      184421
 রেজিস্ট্রার্ড ডিলারের নাম (NID সাথে মিল থাকতে হবে)          |      174028
 স্বামী/স্ত্রীর নাম (NID সাথে মিল থাকতে হবে)                 |      171895
 উপকার ভোগীর নাম (ইংরেজি) (NID সাথে মিল থাকতে হবে)        |      161791
 উপকার ভোগীর নাম (বাংলা) (NID সাথে মিল থাকতে হবে)         |      147018
 স্বামী/স্ত্রী জন্ম তারিখ (NID সাথে মিল থাকতে হবে)            |      144861
 মোবাইল নং                                                |      131972
 জন্ম তারিখ                                                |      131676
 জাতীয় পরিচয়পত্র নম্বর                                      |      125700
 রেজিস্ট্রার্ড ডিলারের নাম                                   |      106672
 রেজিস্ট্রার্ড ডিলারের মোবাইল নম্বর                           |      101527
 স্বামী/স্ত্রী জন্ম তারিখ                                     |       99056
 উপকারভোগীর নাম                                           |       98813
 স্বামী/স্ত্রী জাতীয় পরিচয়পত্র নম্বর                           |       85925
 স্বামী/স্ত্রীর নাম                                          |       82186
 রেজিস্ট্রার্ড ডিলারের এনআইডি                                |       72748
 জন্ম তারিখ                                                |       61583
 স্বামী/স্ত্রী নাম                                           |       46986
 Unnamed: 0                                               |       45757
 উপকার ভোগীর নাম                                          |       39162
 Unnamed: 19                                              |       38027
 মোবাইল নং                                               +|       36019
 (নিজ নামে)                                               | 
 ক্রমিক নং                                                 |       33903
 স্বামী/স্ত্রীর জাতীয় পরিচয় নম্বর                             |       32493
 Unnamed: 18                                              |       32057
 মোবাইল নম্বর                                              |       28816
 Unnamed: 17                                              |       28036
 ক্রঃ নং                                                   |       27522
 স্বামী/স্ত্রীর জাতীয় পরিচয়পত্র নম্বর                          |       25514
 স্বামী/স্ত্রীর জন্ম তারিখ                                    |       25306
 ভোক্তার ধরন (নতুন = N, পরিবর্তন =R)                         |       23688
 Unnamed: 20                                              |       20941
 ইউনিয়নের                                                +|       20739
  নাম                                                     | 
 Unnamed: 16                                              |       19515
